DuftnoteID,Duftnote,AllgemeineDuftnote,Duftgruppen
2088,Mosaikpflanzenwurzel,Mosaikpflanzenwurzel,
2089,Moschus-Gauklerblume,Moschus,Blumige-Noten
2090,Mutterkraut,Mutterkraut,
2091,Myrica pensylvanica,Myrica pensylvanica,
2092,neuseeländischer Schnurbaum,neuseeländischer Schnurbaum,
2093,Niembaum,Niembaum,
2094,Ocotea quixos,Ocotea quixos,Würzige-Noten
2095,Ololiuquiranke,Ololiuquiranke,
2096,Ölweide,Ölweide,
2097,Osyris,Osyris,
2098,Otostegia integrifolia,Otostegia integrifolia,
2099,Palmlilie,Lilie,
2100,Pelargonium sidoides,Pelargonium sidoides,
2101,Peperomia,Peperomia,
2102,persischer Bärenklau CO,persischer Bärenklau CO,
2103,Pfeifenblume,Pfeifenblume,
2104,Pfriemen-Mastkraut,Pfriemen-Mastkraut,
2105,Physalis,Physalis,
2106,Podocarpus totara,Podocarpus totara,
2107,Pollia condensata,Pollia condensata,
2108,Pomaderris kumeraho,Pomaderris kumeraho,
2109,Prosopis alba,Prosopis alba,
2110,Prunus dasycarpa,Prunus dasycarpa,
2111,Pseudowintera,Pseudowintera,
2112,Psorothamnus arborescens,Psorothamnus arborescens,
2113,Psorothamnus spinosus,Psorothamnus spinosus,
2114,Psychotria elata,Psychotria elata,
2115,Quandong,Quandong,
2116,Rambutan,Rambutan,Fruchtige-Noten
2117,Raute,Raute,
2118,Regenbaum,Regenbaum,
2119,Riesen-Bärenklau,Riesen-Bärenklau,Grüne-Noten
2120,Rohrkolben,Rohrkolben,
2121,rote Myrte,rote Myrte,Krautige-Noten
2122,Roter Hartriegel,Roter Hartriegel,
2123,Roter Ingwer,Roter Ingwer,Würzige-Noten
2124,Rotes Sandelholz,Sandelholz,Mineralische-Noten
2125,Ruellie,Ruellie,
2126,Ruizia cordata,Ruizia cordata,
2127,Sawara-Scheinzypresse,Sawara-Scheinzypresse,
2128,Scaevola taccada,Scaevola taccada,
2129,Scheinhasel,Scheinhasel,
2130,Schierling,Schierling,
2131,Schierling Absolue,Schierling Absolue,
2132,Schleichera oleosa,Schleichera oleosa,
2133,Schneebeere,Schneebeere,Aquatische-Noten
2134,Schnurbaum,Schnurbaum,
2135,Schwarze Apfelbeere,Apfel,Fruchtige-Noten
2136,See-Mango,See-Mango,
2137,Silber-Fingerkraut,Silber-Fingerkraut,
2138,Silberblättriger Gänseblümchenstrauch,Silberblättriger Gänseblümchenstrauch,Blumige-Noten
2139,Silberwurz,Silberwurz,
2140,sri-lankisches Eisenholz Absolue,holzige Noten,
2141,Stängelloses Leimkraut,Stängelloses Leimkraut,Grüne-Noten
2142,Stranddistel,Stranddistel,
2143,Strobilanthes,Strobilanthes,
2144,Syrischer Christusdorn,Syrischer Christusdorn,
2145,Tamarillo,Tamarillo,
2146,Tamariske,Tamariske,
2147,Terminalia elliptica,Terminalia elliptica,
2148,Terpentin-Pistazie,Nüsse,Fruchtige-Noten
2149,Thelesperma,Thelesperma,
2150,Torfgränke,Torfgränke,
2151,Totara,Totara,
2152,Trauerbaum,Trauerbaum,
2153,Tupelobaum,Tupelobaum,
2154,türkische Myrte,türkische Myrte,Krautige-Noten
2155,Venusfliegenfalle,Venusfliegenfalle,
2156,Vielköpfiges Ruhrkraut,Vielköpfiges Ruhrkraut,Krautige-Noten
2157,Virginische Traubenkirsche,Virginische Traubenkirsche,Fruchtige-Noten
2158,Virginischer Schneeflockenstrauch,Virginischer Schneeflockenstrauch,Aquatische-Noten
2159,Virola surinamensis,Virola surinamensis,
2160,Vitex,Vitex,
2161,Wacapoubaum,Wacapoubaum,
2162,Wasser-Lobelie,Wasser-Lobelie,
2163,Wasserapfel,Apfel,Fruchtige-Noten
2164,Wasserpfeffer,Pfeffer,Würzige-Noten
2165,Weißwurzblatt,Weißwurzblatt,Blumige-Noten
2166,Wohlriechender Fieberstrauch,Wohlriechender Fieberstrauch,
2167,Wolfsmilch,Wolfsmilch,
2168,Woll-Ziest,Woll-Ziest,Grüne-Noten
2169,Wunderbaum,Wunderbaum,
2170,Ximenia americana,Ximenia americana,
2171,Zahnbürstenbaum,Zahnbürstenbaum,
2172,Zedrachbaum,Zedrachbaum,
2173,Zitronen-Klebsame,Zitrone,Zitrische-Noten
2174,Zweifarbiger Sauerklee,Zweifarbiger Sauerklee,
2175,Zylinderputzer,Zylinderputzer,
2176,Zypressen-Wolfsmilch,Zypressen-Wolfsmilch,Holzige-Noten
2177,nordamerikanischer Gewürzstrauch,nordamerikanischer Gewürzstrauch,Blumige-Noten
2178,indischer Ginster Absolue,indischer Ginster Absolue,Blumige-Noten
2179,italienischer Ginster,italienischer Ginster,Blumige-Noten
2180,italienischer Ginster Absolue Orpur,italienischer Ginster Absolue Orpur,Blumige-Noten
2181,Pfriemenginster,Pfriemenginster,
2182,Pfriemenginster Absolue,Pfriemenginster Absolue,
2183,Eintönige Gladiole,Eintönige Gladiole,Blumige-Noten
2184,alpine Glockenblume,alpine Glockenblume,Blumige-Noten
2185,Frühlings-Zaubernuss,Nüsse,
2186,hawaiianische Schmetterlingslilie,Lilie,Blumige-Noten
