ParfumIndex,Parfum,Hersteller,Geschlecht,Score,Erscheinungsjahr,parfumeur
1818,CK Everyone Calvin Klein  Eau de Toilette,Calvin Klein,Unisex,6.6,2020,Alberto Morillas
1819,Boss Bastard Aaron Terence Hughes ,Aaron Terence Hughes,Unisex,7.5,2020,"Aaron Terence Hughes Markeninhaber, Parfümhersteller"
1820,Armani Privé - Thé Yulong Giorgio Armani ,Giorgio Armani,Unisex,8.0,2020,"Julie Massé,
Véronique Nyberg"
1821,California Dream Louis Vuitton ,Louis Vuitton,Unisex,7.6,2020,Jacques Cavallier-Belletrud
1822,Ozone Aaron Terence Hughes ,Aaron Terence Hughes,Unisex,7.7,2020,"Aaron Terence Hughes Markeninhaber, Parfümhersteller"
1823,Colonia Futura Acqua di Parma ,Acqua Di Parma,Unisex,7.4,2020,François Demachy
1824,Bitter Peach Tom Ford  Eau de Parfum,Tom Ford,Unisex,7.4,2020,"Jean-Marc Chaillan,
Laurent Le Guernec,
IFF (International Flavors & Fragrances)"
1825,Vetiver & Golden Vanilla Jo Malone ,Jo Malone,Unisex,7.9,2020,"Mathilde Bijaoui,
Mane"
1826,Nero XerJoff ,Xerjoff,Unisex,8.0,2020,Nicht angegeben
1827,Sloth Zoologist ,Zoologist,Unisex,7.6,2020,Prin Lomros
1828,Havana Plum Annette Neuffer ,Annette Neuffer,Unisex,8.2,2020,Annette Neuffer
1829,Ashore Amouage ,Amouage,Unisex,7.6,2020,Mackenzie Reilly
1830,Patchouli Ardent Guerlain ,Guerlain,Unisex,7.7,2020,Thierry Wasser
1831,Mimosa Tanneron Perris Monte Carlo ,Perris Monte Carlo,Unisex,7.9,2020,Jean-Claude Ellena
1832,Brilliantly British Penhaligon's ,Penhaligons,Unisex,8.0,2020,Antoine Maisondieu
1833,Milk Musk Molton Brown  Eau de Parfum,Molton Brown,Unisex,7.9,2020,Maïa Lernout
1834,Cinematic Der Duft ,Der-Duft,Unisex,7.5,2020,Miguel Matos
1835,Bois d'Amande Van Cleef & Arpels ,Van Cleef Arpels,Unisex,7.9,2020,Sidonie Lancesseur
1836,Leisure in Paradise Simone Andreoli ,Simone Andreoli,Unisex,8.0,2020,Simone Andreoli
1837,Grasse Der Duft ,Der-Duft,Unisex,7.2,2020,Anselm Skogstad
1838,No : Civet Cat Chypre Meleg Perfumes ,Meleg-Perfumes,Unisex,8.1,2020,"Matthew Meleg Markeninhaber, Parfümhersteller"
1839,Musc Invisible Juliette Has A Gun ,Juliette Has A Gun,Unisex,7.4,2020,Romano Ricci
1840,Oud Rosewood Dior  Eau de Parfum,Dior,Unisex,7.4,2020,François Demachy
1841,Papyrus Moléculaire Maison Crivelli ,Maison Crivelli,Unisex,7.6,2020,Leslie Girard
1842,Bat Zoologist ,Zoologist,Unisex,7.2,2020,Prin Lomros
1843,Ambre Amande Amber Almond L'Occitane en Provence ,Loccitane En Provence,Unisex,8.0,2020,"Amandine Clerc-Marie,
Firmenich"
1844,Arabica Aaron Terence Hughes ,Aaron Terence Hughes,Unisex,7.8,2020,"Aaron Terence Hughes Markeninhaber, Parfümhersteller"
1845,Vermilion Orange Annette Neuffer ,Annette Neuffer,Unisex,8.4,2020,Annette Neuffer
1846,Nuit de Feu Louis Vuitton ,Louis Vuitton,Unisex,6.9,2020,Jacques Cavallier-Belletrud
1847,Mandarino Laboratorio Olfattivo ,Laboratorio Olfattivo,Unisex,7.8,2020,Jean-Claude Ellena
1848, Gerrard Street Atkinsons ,Atkinsons,Unisex,7.9,2020,"Mathieu Nardin,
Mane"
1849,Faïsa Ramón Monegal ,Ramon Monegal,Unisex,8.3,2020,Ramón Monegal Maso
